;appointment timestamp;center age group;center id;test type;grab timestamp
66936;2019-01-17 10:20;adult;10207;Blood Test;2019-01-15 13:40
66937;2019-01-17 10:40;adult;10207;Blood Test;2019-01-15 13:40
66938;2019-01-17 10:45;adult;10207;Blood Test;2019-01-15 13:40
66939;2019-01-17 10:50;adult;10207;Blood Test;2019-01-15 13:40
66940;2019-01-17 11:05;adult;10207;Blood Test;2019-01-15 13:40
66941;2019-01-17 11:10;adult;10207;Blood Test;2019-01-15 13:40
66942;2019-01-17 11:15;adult;10207;Blood Test;2019-01-15 13:40
66943;2019-01-17 11:20;adult;10207;Blood Test;2019-01-15 13:40
66944;2019-01-17 11:25;adult;10207;Blood Test;2019-01-15 13:40
66945;2019-01-17 11:40;adult;10207;Blood Test;2019-01-15 13:40
66946;2019-01-17 11:45;adult;10207;Blood Test;2019-01-15 13:40
66947;2019-01-17 11:50;adult;10207;Blood Test;2019-01-15 13:40
66948;2019-01-17 12:00;adult;10207;Blood Test;2019-01-15 13:40
66949;2019-01-17 12:05;adult;10207;Blood Test;2019-01-15 13:40
66950;2019-01-17 12:10;adult;10207;Blood Test;2019-01-15 13:40
66951;2019-01-17 12:15;adult;10207;Blood Test;2019-01-15 13:40
66952;2019-01-17 12:20;adult;10207;Blood Test;2019-01-15 13:40
66953;2019-01-17 12:25;adult;10207;Blood Test;2019-01-15 13:40
66954;2019-01-17 12:30;adult;10207;Blood Test;2019-01-15 13:40
66955;2019-01-17 12:35;adult;10207;Blood Test;2019-01-15 13:40
66956;2019-01-17 12:40;adult;10207;Blood Test;2019-01-15 13:40
66957;2019-01-17 12:45;adult;10207;Blood Test;2019-01-15 13:40
66958;2019-01-17 12:50;adult;10207;Blood Test;2019-01-15 13:40
66959;2019-01-17 13:00;adult;10207;Blood Test;2019-01-15 13:40
66960;2019-01-17 13:05;adult;10207;Blood Test;2019-01-15 13:40
66961;2019-01-17 13:10;adult;10207;Blood Test;2019-01-15 13:40
66962;2019-01-17 13:15;adult;10207;Blood Test;2019-01-15 13:40
66963;2019-01-17 13:20;adult;10207;Blood Test;2019-01-15 13:40
66964;2019-01-17 13:25;adult;10207;Blood Test;2019-01-15 13:40
66965;2019-01-17 13:30;adult;10207;Blood Test;2019-01-15 13:40
66966;2019-01-17 13:35;adult;10207;Blood Test;2019-01-15 13:40
66967;2019-01-17 13:40;adult;10207;Blood Test;2019-01-15 13:40
66968;2019-01-17 13:45;adult;10207;Blood Test;2019-01-15 13:40
66969;2019-01-17 13:50;adult;10207;Blood Test;2019-01-15 13:40
66970;2019-01-17 14:05;adult;10207;Blood Test;2019-01-15 13:40
66971;2019-01-17 14:10;adult;10207;Blood Test;2019-01-15 13:40
66972;2019-01-17 14:15;adult;10207;Blood Test;2019-01-15 13:40
66973;2019-01-17 14:20;adult;10207;Blood Test;2019-01-15 13:40
66974;2019-01-17 14:25;adult;10207;Blood Test;2019-01-15 13:40
66975;2019-01-17 14:30;adult;10207;Blood Test;2019-01-15 13:40
66976;2019-01-17 14:35;adult;10207;Blood Test;2019-01-15 13:40
66977;2019-01-17 14:40;adult;10207;Blood Test;2019-01-15 13:40
66978;2019-01-17 14:45;adult;10207;Blood Test;2019-01-15 13:40
66979;2019-01-17 14:50;adult;10207;Blood Test;2019-01-15 13:40
66980;2019-01-17 15:10;adult;10207;Blood Test;2019-01-15 13:40
66981;2019-01-17 15:15;adult;10207;Blood Test;2019-01-15 13:40
66982;2019-01-17 15:20;adult;10207;Blood Test;2019-01-15 13:40
66983;2019-01-17 15:25;adult;10207;Blood Test;2019-01-15 13:40
66984;2019-01-17 15:40;adult;10207;Blood Test;2019-01-15 13:40
66985;2019-01-17 15:45;adult;10207;Blood Test;2019-01-15 13:40
66986;2019-01-17 15:50;adult;10207;Blood Test;2019-01-15 13:40
66987;2019-01-17 16:10;adult;10207;Blood Test;2019-01-15 13:40
66988;2019-01-17 16:15;adult;10207;Blood Test;2019-01-15 13:40
66989;2019-01-17 16:20;adult;10207;Blood Test;2019-01-15 13:40
66990;2019-01-17 16:25;adult;10207;Blood Test;2019-01-15 13:40
66991;2019-01-17 16:30;adult;10207;Blood Test;2019-01-15 13:40
66992;2019-01-17 16:35;adult;10207;Blood Test;2019-01-15 13:40
66993;2019-01-17 16:40;adult;10207;Blood Test;2019-01-15 13:40
126415;2019-01-17 08:35;adult;10207;Blood Test;2019-01-15 13:50
126416;2019-01-17 08:40;adult;10207;Blood Test;2019-01-15 13:50
126417;2019-01-17 08:45;adult;10207;Blood Test;2019-01-15 13:50
126418;2019-01-17 08:50;adult;10207;Blood Test;2019-01-15 13:50
126419;2019-01-17 09:10;adult;10207;Blood Test;2019-01-15 13:50
126420;2019-01-17 09:15;adult;10207;Blood Test;2019-01-15 13:50
126421;2019-01-17 09:20;adult;10207;Blood Test;2019-01-15 13:50
126422;2019-01-17 09:40;adult;10207;Blood Test;2019-01-15 13:50
126423;2019-01-17 09:45;adult;10207;Blood Test;2019-01-15 13:50
126424;2019-01-17 09:50;adult;10207;Blood Test;2019-01-15 13:50
126425;2019-01-17 10:15;adult;10207;Blood Test;2019-01-15 13:50
126426;2019-01-17 10:20;adult;10207;Blood Test;2019-01-15 13:50
126427;2019-01-17 10:40;adult;10207;Blood Test;2019-01-15 13:50
126428;2019-01-17 10:45;adult;10207;Blood Test;2019-01-15 13:50
126429;2019-01-17 10:50;adult;10207;Blood Test;2019-01-15 13:50
126430;2019-01-17 11:05;adult;10207;Blood Test;2019-01-15 13:50
126431;2019-01-17 11:10;adult;10207;Blood Test;2019-01-15 13:50
126432;2019-01-17 11:15;adult;10207;Blood Test;2019-01-15 13:50
126433;2019-01-17 11:20;adult;10207;Blood Test;2019-01-15 13:50
126434;2019-01-17 11:25;adult;10207;Blood Test;2019-01-15 13:50
126435;2019-01-17 11:40;adult;10207;Blood Test;2019-01-15 13:50
126436;2019-01-17 11:45;adult;10207;Blood Test;2019-01-15 13:50
126437;2019-01-17 11:50;adult;10207;Blood Test;2019-01-15 13:50
126438;2019-01-17 12:00;adult;10207;Blood Test;2019-01-15 13:50
126439;2019-01-17 12:05;adult;10207;Blood Test;2019-01-15 13:50
126440;2019-01-17 12:10;adult;10207;Blood Test;2019-01-15 13:50
126441;2019-01-17 12:15;adult;10207;Blood Test;2019-01-15 13:50
126442;2019-01-17 12:20;adult;10207;Blood Test;2019-01-15 13:50
126443;2019-01-17 12:25;adult;10207;Blood Test;2019-01-15 13:50
126444;2019-01-17 12:30;adult;10207;Blood Test;2019-01-15 13:50
126445;2019-01-17 12:35;adult;10207;Blood Test;2019-01-15 13:50
126446;2019-01-17 12:40;adult;10207;Blood Test;2019-01-15 13:50
126447;2019-01-17 12:45;adult;10207;Blood Test;2019-01-15 13:50
126448;2019-01-17 12:50;adult;10207;Blood Test;2019-01-15 13:50
126449;2019-01-17 13:00;adult;10207;Blood Test;2019-01-15 13:50
126450;2019-01-17 13:05;adult;10207;Blood Test;2019-01-15 13:50
126451;2019-01-17 13:10;adult;10207;Blood Test;2019-01-15 13:50
126452;2019-01-17 13:15;adult;10207;Blood Test;2019-01-15 13:50
126453;2019-01-17 13:20;adult;10207;Blood Test;2019-01-15 13:50
126454;2019-01-17 13:25;adult;10207;Blood Test;2019-01-15 13:50
126455;2019-01-17 13:30;adult;10207;Blood Test;2019-01-15 13:50
126456;2019-01-17 13:35;adult;10207;Blood Test;2019-01-15 13:50
126457;2019-01-17 13:40;adult;10207;Blood Test;2019-01-15 13:50
126458;2019-01-17 13:45;adult;10207;Blood Test;2019-01-15 13:50
126459;2019-01-17 13:50;adult;10207;Blood Test;2019-01-15 13:50
126460;2019-01-17 14:05;adult;10207;Blood Test;2019-01-15 13:50
126461;2019-01-17 14:10;adult;10207;Blood Test;2019-01-15 13:50
126462;2019-01-17 14:15;adult;10207;Blood Test;2019-01-15 13:50
126463;2019-01-17 14:20;adult;10207;Blood Test;2019-01-15 13:50
126464;2019-01-17 14:25;adult;10207;Blood Test;2019-01-15 13:50
126465;2019-01-17 14:30;adult;10207;Blood Test;2019-01-15 13:50
126466;2019-01-17 14:35;adult;10207;Blood Test;2019-01-15 13:50
126467;2019-01-17 14:40;adult;10207;Blood Test;2019-01-15 13:50
126468;2019-01-17 14:45;adult;10207;Blood Test;2019-01-15 13:50
126469;2019-01-17 14:50;adult;10207;Blood Test;2019-01-15 13:50
126470;2019-01-17 15:10;adult;10207;Blood Test;2019-01-15 13:50
126471;2019-01-17 15:15;adult;10207;Blood Test;2019-01-15 13:50
126472;2019-01-17 15:20;adult;10207;Blood Test;2019-01-15 13:50
126473;2019-01-17 15:25;adult;10207;Blood Test;2019-01-15 13:50
126474;2019-01-17 15:40;adult;10207;Blood Test;2019-01-15 13:50
126475;2019-01-17 15:45;adult;10207;Blood Test;2019-01-15 13:50
126476;2019-01-17 15:50;adult;10207;Blood Test;2019-01-15 13:50
126477;2019-01-17 16:10;adult;10207;Blood Test;2019-01-15 13:50
126478;2019-01-17 16:15;adult;10207;Blood Test;2019-01-15 13:50
126479;2019-01-17 16:20;adult;10207;Blood Test;2019-01-15 13:50
126480;2019-01-17 16:25;adult;10207;Blood Test;2019-01-15 13:50
126481;2019-01-17 16:30;adult;10207;Blood Test;2019-01-15 13:50
126482;2019-01-17 16:35;adult;10207;Blood Test;2019-01-15 13:50
126483;2019-01-17 16:40;adult;10207;Blood Test;2019-01-15 13:50
180152;2019-01-17 08:35;adult;10207;Blood Test;2019-01-15 14:00
180153;2019-01-17 08:40;adult;10207;Blood Test;2019-01-15 14:00
180154;2019-01-17 08:45;adult;10207;Blood Test;2019-01-15 14:00
180155;2019-01-17 08:50;adult;10207;Blood Test;2019-01-15 14:00
180156;2019-01-17 09:10;adult;10207;Blood Test;2019-01-15 14:00
180157;2019-01-17 09:15;adult;10207;Blood Test;2019-01-15 14:00
180158;2019-01-17 09:20;adult;10207;Blood Test;2019-01-15 14:00
180159;2019-01-17 09:40;adult;10207;Blood Test;2019-01-15 14:00
180160;2019-01-17 09:45;adult;10207;Blood Test;2019-01-15 14:00
180161;2019-01-17 09:50;adult;10207;Blood Test;2019-01-15 14:00
180162;2019-01-17 10:15;adult;10207;Blood Test;2019-01-15 14:00
180163;2019-01-17 10:20;adult;10207;Blood Test;2019-01-15 14:00
180164;2019-01-17 10:40;adult;10207;Blood Test;2019-01-15 14:00
180165;2019-01-17 10:45;adult;10207;Blood Test;2019-01-15 14:00
180166;2019-01-17 10:50;adult;10207;Blood Test;2019-01-15 14:00
180167;2019-01-17 11:05;adult;10207;Blood Test;2019-01-15 14:00
180168;2019-01-17 11:10;adult;10207;Blood Test;2019-01-15 14:00
180169;2019-01-17 11:15;adult;10207;Blood Test;2019-01-15 14:00
180170;2019-01-17 11:20;adult;10207;Blood Test;2019-01-15 14:00
180171;2019-01-17 11:25;adult;10207;Blood Test;2019-01-15 14:00
180172;2019-01-17 11:40;adult;10207;Blood Test;2019-01-15 14:00
180173;2019-01-17 11:45;adult;10207;Blood Test;2019-01-15 14:00
180174;2019-01-17 11:50;adult;10207;Blood Test;2019-01-15 14:00
180175;2019-01-17 12:00;adult;10207;Blood Test;2019-01-15 14:00
180176;2019-01-17 12:05;adult;10207;Blood Test;2019-01-15 14:00
180177;2019-01-17 12:10;adult;10207;Blood Test;2019-01-15 14:00
180178;2019-01-17 12:15;adult;10207;Blood Test;2019-01-15 14:00
180179;2019-01-17 12:20;adult;10207;Blood Test;2019-01-15 14:00
180180;2019-01-17 12:25;adult;10207;Blood Test;2019-01-15 14:00
180181;2019-01-17 12:30;adult;10207;Blood Test;2019-01-15 14:00
180182;2019-01-17 12:35;adult;10207;Blood Test;2019-01-15 14:00
180183;2019-01-17 12:40;adult;10207;Blood Test;2019-01-15 14:00
180184;2019-01-17 12:45;adult;10207;Blood Test;2019-01-15 14:00
180185;2019-01-17 12:50;adult;10207;Blood Test;2019-01-15 14:00
180186;2019-01-17 13:00;adult;10207;Blood Test;2019-01-15 14:00
180187;2019-01-17 13:05;adult;10207;Blood Test;2019-01-15 14:00
180188;2019-01-17 13:10;adult;10207;Blood Test;2019-01-15 14:00
180189;2019-01-17 13:15;adult;10207;Blood Test;2019-01-15 14:00
180190;2019-01-17 13:20;adult;10207;Blood Test;2019-01-15 14:00
180191;2019-01-17 13:25;adult;10207;Blood Test;2019-01-15 14:00
180192;2019-01-17 13:30;adult;10207;Blood Test;2019-01-15 14:00
180193;2019-01-17 13:35;adult;10207;Blood Test;2019-01-15 14:00
180194;2019-01-17 13:40;adult;10207;Blood Test;2019-01-15 14:00
180195;2019-01-17 13:45;adult;10207;Blood Test;2019-01-15 14:00
180196;2019-01-17 13:50;adult;10207;Blood Test;2019-01-15 14:00
180197;2019-01-17 14:05;adult;10207;Blood Test;2019-01-15 14:00
180198;2019-01-17 14:10;adult;10207;Blood Test;2019-01-15 14:00
180199;2019-01-17 14:15;adult;10207;Blood Test;2019-01-15 14:00
180200;2019-01-17 14:20;adult;10207;Blood Test;2019-01-15 14:00
180201;2019-01-17 14:25;adult;10207;Blood Test;2019-01-15 14:00
180202;2019-01-17 14:30;adult;10207;Blood Test;2019-01-15 14:00
180203;2019-01-17 14:35;adult;10207;Blood Test;2019-01-15 14:00
180204;2019-01-17 14:40;adult;10207;Blood Test;2019-01-15 14:00
180205;2019-01-17 14:45;adult;10207;Blood Test;2019-01-15 14:00
180206;2019-01-17 14:50;adult;10207;Blood Test;2019-01-15 14:00
180207;2019-01-17 15:10;adult;10207;Blood Test;2019-01-15 14:00
180208;2019-01-17 15:15;adult;10207;Blood Test;2019-01-15 14:00
180209;2019-01-17 15:20;adult;10207;Blood Test;2019-01-15 14:00
180210;2019-01-17 15:25;adult;10207;Blood Test;2019-01-15 14:00
180211;2019-01-17 15:40;adult;10207;Blood Test;2019-01-15 14:00
180212;2019-01-17 15:45;adult;10207;Blood Test;2019-01-15 14:00
180213;2019-01-17 15:50;adult;10207;Blood Test;2019-01-15 14:00
180214;2019-01-17 16:10;adult;10207;Blood Test;2019-01-15 14:00
180215;2019-01-17 16:15;adult;10207;Blood Test;2019-01-15 14:00
180216;2019-01-17 16:20;adult;10207;Blood Test;2019-01-15 14:00
180217;2019-01-17 16:25;adult;10207;Blood Test;2019-01-15 14:00
180218;2019-01-17 16:30;adult;10207;Blood Test;2019-01-15 14:00
180219;2019-01-17 16:35;adult;10207;Blood Test;2019-01-15 14:00
180220;2019-01-17 16:40;adult;10207;Blood Test;2019-01-15 14:00
233883;2019-01-17 08:35;adult;10207;Blood Test;2019-01-15 14:10
233884;2019-01-17 08:40;adult;10207;Blood Test;2019-01-15 14:10
233885;2019-01-17 08:45;adult;10207;Blood Test;2019-01-15 14:10
233886;2019-01-17 08:50;adult;10207;Blood Test;2019-01-15 14:10
233887;2019-01-17 09:10;adult;10207;Blood Test;2019-01-15 14:10
233888;2019-01-17 09:15;adult;10207;Blood Test;2019-01-15 14:10
233889;2019-01-17 09:20;adult;10207;Blood Test;2019-01-15 14:10
233890;2019-01-17 09:40;adult;10207;Blood Test;2019-01-15 14:10
233891;2019-01-17 09:45;adult;10207;Blood Test;2019-01-15 14:10
233892;2019-01-17 09:50;adult;10207;Blood Test;2019-01-15 14:10
233893;2019-01-17 10:15;adult;10207;Blood Test;2019-01-15 14:10
233894;2019-01-17 10:20;adult;10207;Blood Test;2019-01-15 14:10
233895;2019-01-17 10:40;adult;10207;Blood Test;2019-01-15 14:10
233896;2019-01-17 10:45;adult;10207;Blood Test;2019-01-15 14:10
233897;2019-01-17 10:50;adult;10207;Blood Test;2019-01-15 14:10
233898;2019-01-17 11:05;adult;10207;Blood Test;2019-01-15 14:10
233899;2019-01-17 11:10;adult;10207;Blood Test;2019-01-15 14:10
233900;2019-01-17 11:15;adult;10207;Blood Test;2019-01-15 14:10
233901;2019-01-17 11:20;adult;10207;Blood Test;2019-01-15 14:10
233902;2019-01-17 11:25;adult;10207;Blood Test;2019-01-15 14:10
233903;2019-01-17 11:40;adult;10207;Blood Test;2019-01-15 14:10
233904;2019-01-17 11:45;adult;10207;Blood Test;2019-01-15 14:10
233905;2019-01-17 11:50;adult;10207;Blood Test;2019-01-15 14:10
233906;2019-01-17 12:00;adult;10207;Blood Test;2019-01-15 14:10
233907;2019-01-17 12:05;adult;10207;Blood Test;2019-01-15 14:10
233908;2019-01-17 12:10;adult;10207;Blood Test;2019-01-15 14:10
233909;2019-01-17 12:15;adult;10207;Blood Test;2019-01-15 14:10
233910;2019-01-17 12:20;adult;10207;Blood Test;2019-01-15 14:10
233911;2019-01-17 12:25;adult;10207;Blood Test;2019-01-15 14:10
233912;2019-01-17 12:30;adult;10207;Blood Test;2019-01-15 14:10
233913;2019-01-17 12:35;adult;10207;Blood Test;2019-01-15 14:10
233914;2019-01-17 12:40;adult;10207;Blood Test;2019-01-15 14:10
233915;2019-01-17 12:45;adult;10207;Blood Test;2019-01-15 14:10
233916;2019-01-17 12:50;adult;10207;Blood Test;2019-01-15 14:10
233917;2019-01-17 13:00;adult;10207;Blood Test;2019-01-15 14:10
233918;2019-01-17 13:05;adult;10207;Blood Test;2019-01-15 14:10
233919;2019-01-17 13:10;adult;10207;Blood Test;2019-01-15 14:10
233920;2019-01-17 13:15;adult;10207;Blood Test;2019-01-15 14:10
233921;2019-01-17 13:20;adult;10207;Blood Test;2019-01-15 14:10
233922;2019-01-17 13:25;adult;10207;Blood Test;2019-01-15 14:10
233923;2019-01-17 13:30;adult;10207;Blood Test;2019-01-15 14:10
233924;2019-01-17 13:35;adult;10207;Blood Test;2019-01-15 14:10
233925;2019-01-17 13:40;adult;10207;Blood Test;2019-01-15 14:10
233926;2019-01-17 13:45;adult;10207;Blood Test;2019-01-15 14:10
233927;2019-01-17 13:50;adult;10207;Blood Test;2019-01-15 14:10
233928;2019-01-17 14:05;adult;10207;Blood Test;2019-01-15 14:10
233929;2019-01-17 14:10;adult;10207;Blood Test;2019-01-15 14:10
233930;2019-01-17 14:15;adult;10207;Blood Test;2019-01-15 14:10
233931;2019-01-17 14:20;adult;10207;Blood Test;2019-01-15 14:10
233932;2019-01-17 14:25;adult;10207;Blood Test;2019-01-15 14:10
233933;2019-01-17 14:30;adult;10207;Blood Test;2019-01-15 14:10
233934;2019-01-17 14:35;adult;10207;Blood Test;2019-01-15 14:10
233935;2019-01-17 14:40;adult;10207;Blood Test;2019-01-15 14:10
233936;2019-01-17 14:45;adult;10207;Blood Test;2019-01-15 14:10
233937;2019-01-17 14:50;adult;10207;Blood Test;2019-01-15 14:10
233938;2019-01-17 15:10;adult;10207;Blood Test;2019-01-15 14:10
233939;2019-01-17 15:15;adult;10207;Blood Test;2019-01-15 14:10
233940;2019-01-17 15:20;adult;10207;Blood Test;2019-01-15 14:10
233941;2019-01-17 15:25;adult;10207;Blood Test;2019-01-15 14:10
233942;2019-01-17 15:40;adult;10207;Blood Test;2019-01-15 14:10
233943;2019-01-17 15:45;adult;10207;Blood Test;2019-01-15 14:10
233944;2019-01-17 15:50;adult;10207;Blood Test;2019-01-15 14:10
233945;2019-01-17 16:10;adult;10207;Blood Test;2019-01-15 14:10
233946;2019-01-17 16:15;adult;10207;Blood Test;2019-01-15 14:10
233947;2019-01-17 16:20;adult;10207;Blood Test;2019-01-15 14:10
233948;2019-01-17 16:25;adult;10207;Blood Test;2019-01-15 14:10
233949;2019-01-17 16:30;adult;10207;Blood Test;2019-01-15 14:10
233950;2019-01-17 16:35;adult;10207;Blood Test;2019-01-15 14:10
233951;2019-01-17 16:40;adult;10207;Blood Test;2019-01-15 14:10
287587;2019-01-17 08:35;adult;10207;Blood Test;2019-01-15 14:20
287588;2019-01-17 08:40;adult;10207;Blood Test;2019-01-15 14:20
287589;2019-01-17 08:45;adult;10207;Blood Test;2019-01-15 14:20
287590;2019-01-17 08:50;adult;10207;Blood Test;2019-01-15 14:20
287591;2019-01-17 09:10;adult;10207;Blood Test;2019-01-15 14:20
287592;2019-01-17 09:15;adult;10207;Blood Test;2019-01-15 14:20
287593;2019-01-17 09:20;adult;10207;Blood Test;2019-01-15 14:20
287594;2019-01-17 09:40;adult;10207;Blood Test;2019-01-15 14:20
287595;2019-01-17 09:45;adult;10207;Blood Test;2019-01-15 14:20
287596;2019-01-17 09:50;adult;10207;Blood Test;2019-01-15 14:20
287597;2019-01-17 10:15;adult;10207;Blood Test;2019-01-15 14:20
287598;2019-01-17 10:20;adult;10207;Blood Test;2019-01-15 14:20
287599;2019-01-17 10:40;adult;10207;Blood Test;2019-01-15 14:20
287600;2019-01-17 10:45;adult;10207;Blood Test;2019-01-15 14:20
287601;2019-01-17 10:50;adult;10207;Blood Test;2019-01-15 14:20
287602;2019-01-17 11:05;adult;10207;Blood Test;2019-01-15 14:20
287603;2019-01-17 11:10;adult;10207;Blood Test;2019-01-15 14:20
287604;2019-01-17 11:15;adult;10207;Blood Test;2019-01-15 14:20
287605;2019-01-17 11:20;adult;10207;Blood Test;2019-01-15 14:20
287606;2019-01-17 11:25;adult;10207;Blood Test;2019-01-15 14:20
287607;2019-01-17 11:40;adult;10207;Blood Test;2019-01-15 14:20
287608;2019-01-17 11:45;adult;10207;Blood Test;2019-01-15 14:20
287609;2019-01-17 11:50;adult;10207;Blood Test;2019-01-15 14:20
287610;2019-01-17 12:00;adult;10207;Blood Test;2019-01-15 14:20
287611;2019-01-17 12:05;adult;10207;Blood Test;2019-01-15 14:20
287612;2019-01-17 12:10;adult;10207;Blood Test;2019-01-15 14:20
287613;2019-01-17 12:15;adult;10207;Blood Test;2019-01-15 14:20
287614;2019-01-17 12:20;adult;10207;Blood Test;2019-01-15 14:20
287615;2019-01-17 12:25;adult;10207;Blood Test;2019-01-15 14:20
287616;2019-01-17 12:30;adult;10207;Blood Test;2019-01-15 14:20
287617;2019-01-17 12:35;adult;10207;Blood Test;2019-01-15 14:20
